ID,State,YEAR,Asset,Equity,Financial Leverage,Financial Leverage Ratio,Equity Net Income,IR,ROA,latitude,longitude
CB_2019_AK,Alaska,2019,6329792,820270,7.716717666,1.716717666,85359,0.034360105,1.30219217,61.33431076,-152.6871729
CB_2019_AL,Alabama,2019,260446687,33830329,7.698615257,1.698615257,2416555,0.034360105,0.895969131,32.63330898,-86.76992225
CB_2019_AR,Arkansas,2019,112764363,16745574,6.733980155,0.733980155,1623727,0.034360105,1.39045309,35.0732061,-92.236676
CB_2019_AS,American Samoa,2019,0,0,0,0,0,0.034360105,0,14.24371639,-169.9348184
CB_2019_AZ,Arizona,2019,31210017,3494452,8.931305109,2.931305109,554984,0.034360105,1.717123998,34.0003639,-111.4947231
CB_2019_CA,California,2019,843934348,98806753,8.541261831,2.541261831,7474764,0.034360105,0.855271544,36.98096231,-120.0946519
CB_2019_CO,Colorado,2019,57160356,5799771,9.85562292,3.85562292,778074,0.034360105,1.314441246,39.19933508,-105.6264691
CB_2019_CT,Connecticut,2019,95113954,11559706,8.228059952,2.228059952,1109807,0.034360105,1.12672628,41.55935152,-72.70859702
CB_2019_DC,District Of Columbia,2019,1419738,123212,11.52272506,5.52272506,8165,0.034360105,0.555345405,38.86872333,-77.00747583
CB_2019_DE,Delaware,2019,993520912,118971120,8.350941909,2.350941909,11429275,0.034360105,1.11085371,39.24735872,-75.54971961
CB_2019_FL,Florida,2019,159637990,17700104,9.019042487,3.019042487,1851720,0.034360105,1.120093473,28.19851121,-81.99087212
CB_2019_GA,Georgia,2019,145515629,18022706,8.074016688,2.074016688,1860773,0.034360105,1.234806637,32.6948752,-83.45712495
CB_2019_GU,Guam,2019,2279890,219210,10.40048355,4.40048355,17654,0.034360105,0.747729351,13.48345,-144.7959825
CB_2019_HI,Hawaii,2019,45675189,4566072,10.00316881,4.00316881,588821,0.034360105,1.244853193,20.98874576,-157.2086999
CB_2019_IA,Iowa,2019,87522209,10161355,8.613241935,2.613241935,1128741,0.034360105,1.245349442,41.94750209,-93.43162288
CB_2019_ID,Idaho,2019,5708568,682745,8.361200741,2.361200741,76117,0.034360105,1.287566548,44.58138512,-114.9426578
CB_2019_IL,Illinois,2019,499056729,54731865,9.118211649,3.118211649,5259948,0.034360105,1.01776318,40.26787428,-88.95566876
CB_2019_IN,Indiana,2019,102159383,12579935,8.120819623,2.120819623,1307778,0.034360105,1.236149411,40.1633986,-86.19105122
CB_2019_KS,Kansas,2019,65123421,7622289,8.543814201,2.543814201,775149,0.034360105,1.149378807,38.42146235,-98.08560159
CB_2019_KY,Kentucky,2019,59404084,6949600,8.547842178,2.547842178,715900,0.034360105,1.163727398,37.51944462,-85.49268128
CB_2019_LA,Louisiana,2019,77633936,9727480,7.980888781,1.980888781,927632,0.034360105,1.153823332,31.18916971,-92.05054183
CB_2019_MA,Massachusetts,2019,309533436,33571125,9.220228277,3.220228277,2976674,0.034360105,0.928621866,42.1798975,-71.55575236
CB_2019_MD,Maryland,2019,37963643,4937572,7.688726969,1.688726969,471152,0.034360105,1.198418097,38.97602171,-76.81425542
CB_2019_ME,Maine,2019,12372817,1388516,8.910820617,2.910820617,143152,0.034360105,1.117233709,44.84531507,-69.25283734
CB_2019_MI,Michigan,2019,41955448,4617839,9.085515541,3.085515541,551171,0.034360105,1.268566377,43.67083025,-84.88541961
CB_2019_MN,Minnesota,2019,71139305,8011504,8.879644197,2.879644197,933017,0.034360105,1.266470678,45.6859403,-94.22007026
CB_2019_MO,Missouri,2019,171424684,18108102,9.466739474,3.466739474,2234681,0.034360105,1.258801869,38.27735146,-92.32851702
CB_2019_MS,Mississippi,2019,110535209,13937090,7.931010634,1.931010634,1271168,0.034360105,1.110497321,32.87465806,-89.54541929
CB_2019_MT,Montana,2019,41002903,5432070,7.54830166,1.54830166,634601,0.034360105,1.494518676,47.0749357,-110.1561223
CB_2019_NC,North Carolina,2019,2383515137,283537678,8.406343572,2.406343572,30912698,0.034360105,1.252374445,35.49967047,-79.10223033
CB_2019_ND,North Dakota,2019,31916103,3397273,9.394624159,3.394624159,426670,0.034360105,1.290914414,47.53318374,-99.87728715
CB_2019_NE,Nebraska,2019,73253574,8074580,9.072121894,3.072121894,940054,0.034360105,1.239193662,41.27923812,-98.79016149
CB_2019_NH,New Hampshire,2019,2187852,305649,7.158053846,1.158053846,27507,0.034360105,1.214060942,43.40460397,-71.65968883
CB_2019_NJ,New Jersey,2019,120415468,13695523,8.792323448,2.792323448,1204249,0.034360105,0.965715533,40.21945002,-74.63439848
CB_2019_NM,New Mexico,2019,11379375,1228034,9.26633546,3.26633546,187835,0.034360105,1.59394492,34.43756761,-105.9641391
CB_2019_NV,Nevada,2019,27344448,4863428,5.622463826,-0.377536174,887045,0.034360105,3.132504415,38.6258707,-116.7215876
CB_2019_NY,New York,2019,1016289821,116275246,8.740379883,2.740379883,10478422,0.034360105,0.995619765,42.48277663,-75.35484467
